competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo
202001;2;29;293210;Q;8610102;1;410105;101;80;45;30;3;3;0;1;20;0;0;0;3100;9;0;1;202001;202202;1;0
202001;3;32;320503;C;2093200;1;411010;101;9;27;44;1;3;0;1;20;0;0;0;1163.5;2;0;1;202001;202202;1;0
202001;3;31;313510;N;8220200;-1;422310;101;7;18;36;2;3;0;1;40;0;0;0;998;8;0;1;202001;202202;1;0
202001;2;29;293210;Q;8610102;1;514310;101;6;27;40;2;1;0;1;20;0;0;0;1039;9;0;1;202001;202202;1;0
202001;3;35;355030;A;111301;1;622020;101;7;31;44;6;1;2;3;20;0;0;0;1350;99;0;1;202001;202202;1;0
202001;3;35;354880;N;8111700;1;517410;101;5;41;36;6;1;0;1;20;0;0;0;1392.02;5;0;1;202001;202202;1;0
202001;3;31;314330;N;8112500;1;517410;101;7;25;45;1;1;0;1;20;0;0;0;1120;2;0;1;202001;202202;1;0
202001;3;35;354870;S;9603304;1;516505;101;7;38;42;3;1;0;1;20;0;0;0;1493.8;1;0;1;202001;202202;1;0
202001;3;35;355160;P;8591100;1;514320;101;5;34;44;1;3;0;1;20;0;0;0;1233.67;3;0;1;202001;202202;1;0
202001;3;35;355030;N;7719599;1;515135;101;7;29;44;3;1;0;1;20;0;0;0;1462.42;3;0;1;202001;202202;1;0
202001;2;26;260960;G;4781400;1;514320;101;7;41;44;3;1;0;1;20;0;0;0;1205;2;0;1;202001;202202;1;0
202001;3;31;314330;N;8220200;-1;420135;101;8;22;48;3;3;0;1;31;0;0;0;1684.16;9;0;1;202001;202202;1;0
202001;3;35;350570;G;4789099;1;521110;101;7;24;44;1;1;0;1;20;0;0;0;1447;2;0;1;202001;202202;1;0
202001;3;31;314330;N;8220200;-1;422310;101;7;24;36;3;3;0;1;40;0;0;0;998;9;0;1;202001;202202;1;0
202001;5;53;530010;C;1053800;1;521140;101;8;30;44;3;3;0;1;20;0;0;0;1122;3;0;1;202001;202202;1;0
202001;3;31;314330;G;4743100;-1;252310;101;5;41;44;6;3;0;1;32;0;0;0;1398.2;3;0;1;202001;202202;1;0
202001;2;29;293210;Q;8610102;1;411010;101;7;23;40;3;3;0;1;10;0;0;0;1039;9;0;1;202001;202202;1;0
202001;3;35;351310;H;4930202;-1;782510;101;5;27;44;3;1;0;1;31;0;0;0;2108.5;3;0;1;202001;202202;1;0
202001;2;29;292740;F;4211101;1;717020;101;7;37;44;3;1;0;1;20;0;0;0;1126.4;7;0;1;202001;202202;1;0
202001;2;29;293210;Q;8610102;1;411010;101;7;40;40;3;3;0;1;20;0;0;0;1039;9;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;410105;101;7;42;44;6;3;0;1;31;0;0;0;2041.34;10;0;1;202001;202202;1;0
202001;3;35;351690;G;4681802;1;521110;101;5;56;44;6;1;0;1;20;0;0;0;2500;1;0;1;202001;202202;1;0
202001;3;35;355030;A;111301;1;622020;101;7;35;44;6;1;2;3;20;0;0;0;1350;99;0;1;202001;202202;1;0
202001;2;29;293210;Q;8610102;1;322430;101;6;32;40;1;3;0;1;20;0;0;0;1070;9;0;1;202001;202202;1;0
202001;3;35;351880;H;4930202;1;411010;101;7;33;44;3;1;0;1;20;0;0;0;1485.33;2;0;1;202001;202202;1;0
202001;3;33;330455;P;8599601;1;333105;101;7;29;44;3;1;0;1;20;0;0;0;0;4;0;1;202001;202202;1;0
202001;2;29;293210;Q;8610102;1;411010;101;8;23;40;3;3;0;1;20;0;0;0;1039;9;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;325210;101;7;42;44;6;3;0;1;31;0;0;0;1120;10;0;1;202001;202202;1;0
202001;3;35;354100;C;2062200;1;784205;101;7;40;44;1;3;0;1;20;0;0;0;1200;5;0;1;202001;202202;1;0
202001;2;29;293210;Q;8610102;1;514230;101;7;26;40;3;3;0;1;10;0;0;0;1039;9;0;1;202001;202202;1;0
202001;3;35;350950;G;4721102;1;514320;101;7;44;44;6;3;0;1;20;0;0;0;1420;1;0;1;202001;202202;1;0
202001;3;35;355030;I;5620101;1;223710;101;9;28;44;3;3;0;1;20;0;0;0;3750;7;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;514320;101;7;36;44;6;3;0;1;31;0;0;0;1196.43;10;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;514320;101;6;34;44;6;3;0;1;31;0;0;0;1196.43;10;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;513425;101;7;31;44;3;3;0;1;31;0;0;0;1032;10;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;513425;101;7;33;44;6;3;0;1;31;0;0;0;1032;10;0;1;202001;202202;1;0
202001;3;31;313510;N;8220200;-1;422310;101;6;18;36;3;1;0;1;40;0;0;0;998;8;0;1;202001;202202;1;0
202001;3;35;355030;N;7740300;1;422105;101;5;19;22;3;3;0;1;20;0;0;0;1010.25;3;0;1;202001;202202;1;0
202001;2;29;293210;Q;8610102;1;411010;101;7;38;40;1;3;0;1;20;0;0;0;1039;9;0;1;202001;202202;1;0
202001;3;35;352240;I;5611203;1;513405;101;7;24;22;1;1;0;1;20;0;0;0;660;4;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;514320;101;7;41;44;6;3;0;1;31;0;0;0;1196.43;10;0;1;202001;202202;1;0
202001;1;11;110028;N;8211300;-1;514320;101;4;36;44;6;3;0;1;31;0;0;0;1196.43;10;0;1;202001;202202;1;0
202001;3;33;330455;P;8541400;-1;231205;101;9;36;28;1;1;0;1;31;0;0;0;0;5;0;1;202001;202202;1;0
202001;3;35;355030;G;4520001;-1;413115;101;7;46;44;1;3;0;1;31;0;0;0;1166;2;0;1;202001;202202;1;0
202001;2;24;240260;C;1121600;1;782515;101;7;31;44;1;1;0;1;20;0;0;0;1300;4;0;1;202101;202202;1;1
202001;4;41;412810;C;1321900;-1;761309;101;7;33;44;6;1;0;1;31;0;0;0;1150;4;0;1;202009;202202;1;1
